date	experiment	round	assay	plate	condition	control	strain	row	col	trait	phenotype	.std.resid.x	.std.resid.y
20210409	ABZD	2	d	3	fbz30	DMSO	N2	A	1	median.EXT	-71.69971899062556	-1.6326152909025657	-0.8694981006126407
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	A	2	median.EXT	56.21014416282986	0.6092397534258643	0.672425725228264
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	A	3	median.EXT	12.34010247908478	0.1647340118780099	0.14761589523567015
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	A	6	median.EXT	37.981405370993265	0.8411557924943243	0.4559013887251418
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	A	8	median.EXT	118.19771900857491	0.44013430827178396	1.424656827448509
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	A	9	median.EXT	-1.0981590988179732	1.0005980693538885	-0.013346599795626177
20210409	ABZD	2	d	3	fbz30	DMSO	N2	B	1	median.EXT	-126.69971899062556	-2.1640895471010984	-1.5364797318788297
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	B	2	median.EXT	-20.789855837170137	-0.13482420525209915	-0.24870304278537167
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	B	3	median.EXT	115.34010247908478	1.1600403462134528	1.3797318549729574
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	B	6	median.EXT	53.981405370993265	0.995766485206629	0.6479538456669557
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	B	8	median.EXT	133.6977190085749	0.5899134168368292	1.6114809134856505
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	B	9	median.EXT	58.40184090118203	1.5755565828777716	0.7097933247331301
20210409	ABZD	2	d	3	fbz30	DMSO	N2	C	1	median.EXT	-39.699718990625556	-1.3233939054779416	-0.48143606060321625
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	C	2	median.EXT	-59.28985583717014	-0.5068561845910823	-0.7092674267921896
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	C	3	median.EXT	-29.65989752091522	-0.24111905649180862	-0.3548003213562334
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	C	6	median.EXT	-98.01859462900674	-0.4730350955602657	-1.1765444952802766
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	C	8	median.EXT	62.69771900857491	-0.09617153207402297	0.7557060677671307
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	C	9	median.EXT	11.401840901182027	1.1213876730353765	0.1385735524162974
20210409	ABZD	2	d	3	fbz30	DMSO	N2	D	1	median.EXT	-95.69971899062556	-1.864531329971008	-1.1605446306197031
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	D	2	median.EXT	46.71014416282986	0.5174396546279363	0.5587799681356727
