date	experiment	round	assay	plate	row	col	sort	TOF	EXT	time	green	yellow	red	norm.EXT	norm.green	norm.yellow	norm.red	object	call50	stage	strain	condition	control	contamination
20210330	abzdom	NA	NA	1	C	1	0	371	996	0	720	237	32	2.684636118598383	1.940700808625337	0.6388140161725068	0.0862533692722372	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	352	947	94	749	247	41	2.690340909090909	2.127840909090909	0.7017045454545454	0.11647727272727272	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	452	1422	218	98	30	23	3.146017699115044	0.2168141592920354	0.06637168141592921	0.05088495575221239	0.9999999924748192	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	491	1364	359	1165	381	47	2.7780040733197557	2.3727087576374744	0.7759674134419552	0.09572301425661914	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	275	924	437	752	254	42	3.36	2.7345454545454544	0.9236363636363636	0.15272727272727274	1	object	L4	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	341	1339	1966	1183	406	60	3.9266862170087977	3.469208211143695	1.1906158357771262	0.17595307917888564	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	232	950	2622	47	19	14	4.094827586206897	0.2025862068965517	0.08189655172413793	0.0603448275862069	0.9680020646283284	object	L4	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	510	1276	2778	996	323	48	2.5019607843137255	1.9529411764705882	0.6333333333333333	0.09411764705882353	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	418	1025	2856	653	221	34	2.452153110047847	1.562200956937799	0.5287081339712919	0.08133971291866028	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	221	1059	3215	1385	482	61	4.791855203619909	6.266968325791855	2.180995475113122	0.27601809954751133	1	object	L4	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	243	1236	3543	58	29	22	5.08641975308642	0.23868312757201646	0.11934156378600823	0.09053497942386832	0.9992081306008924	object	L4	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	428	1409	3715	100	31	27	3.292056074766355	0.2336448598130841	0.07242990654205607	0.0630841121495327	0.9999999995747321	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	289	618	3808	136	46	11	2.13840830449827	0.47058823529411764	0.15916955017301038	0.03806228373702422	0.9999999999959917	object	L4	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	428	1105	3808	728	243	38	2.5817757009345796	1.7009345794392523	0.5677570093457944	0.08878504672897196	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	433	933	3918	156	49	19	2.1547344110854505	0.36027713625866054	0.11316397228637413	0.04387990762124711	0.9999999999999999	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	517	1312	3996	1105	356	53	2.5377176015473886	2.137330754352031	0.688588007736944	0.10251450676982592	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	459	1403	4042	1393	459	67	3.056644880174292	3.0348583877995643	1	0.14596949891067537	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	306	771	4089	672	227	36	2.519607843137255	2.196078431372549	0.7418300653594772	0.11764705882352941	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	463	1472	4167	1326	433	62	3.1792656587473003	2.863930885529158	0.9352051835853131	0.13390928725701945	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	412	1380	4245	1196	402	53	3.349514563106796	2.9029126213592233	0.9757281553398058	0.12864077669902912	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	531	1197	4557	827	262	39	2.2542372881355934	1.5574387947269304	0.4934086629001883	0.07344632768361582	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	409	1019	4651	672	226	39	2.491442542787286	1.6430317848410758	0.5525672371638142	0.09535452322738386	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	519	1594	4994	1015	337	55	3.071290944123314	1.9556840077071291	0.649325626204239	0.10597302504816955	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	188	165	4994	2	2	2	0.8776595744680851	0.010638297872340425	0.010638297872340425	0.010638297872340425	0.9999942863798471	object	L2/L3	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	587	1924	4994	106	35	30	3.2776831345826234	0.18057921635434412	0.059625212947189095	0.05110732538330494	0.9999999998899847	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	466	424	4994	5	3	5	0.9098712446351931	0.01072961373390558	0.006437768240343348	0.01072961373390558	0.9999999999999996	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	213	972	5103	811	274	40	4.563380281690141	3.807511737089202	1.2863849765258215	0.18779342723004694	1	object	L4	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	356	1211	6103	824	279	47	3.401685393258427	2.3146067415730336	0.7837078651685393	0.13202247191011235	1	object	adult	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	119	422	6305	657	290	33	3.546218487394958	5.5210084033613445	2.436974789915966	0.2773109243697479	1	object	L2/L3	ECA919	DMSO	None	FALSE
20210330	abzdom	NA	NA	1	C	1	0	153	467	6305	821	326	35	3.052287581699346	5.366013071895424	2.130718954248366	0.22875816993464052	1	object	L2/L3	ECA919	DMSO	None	FALSE
