date	experiment	round	assay	plate	condition	control	strain	row	col	trait	phenotype	.std.resid.x	.std.resid.y
20210409	ABZD	2	d	2	abz30	DMSO	N2	A	1	n	-8.173692868369919	-0.8129519597663464	-0.7647687452191093
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	A	2	n	-8.743769595990628	-0.5096424722393065	-0.8172619504994826
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	A	3	n	2.583846875348158	-0.7262921061871903	0.2423963982885076
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	A	6	n	5.63943585797486	0.6602655510792659	0.52754593281205
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	A	8	n	1.0060824683988363	-0.29299283829142436	0.09408480545221125
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	A	9	n	28.116668691210098	2.5667823298206462	2.6536733557610126
20210409	ABZD	2	d	2	abz30	DMSO	N2	B	1	n	8.826307131630081	-0.07634320434354024	0.8258303729635272
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	B	2	n	-1.7437695959906274	-0.2063329847122707	-0.1629865157808445
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	B	3	n	-0.4161531246518422	-0.8562818865559232	-0.039040246353036157
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	B	6	n	-6.36056414202514	0.1403064296043439	-0.595004505418827
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	B	8	n	5.006082468398836	-0.11967313113311706	0.46814879486630195
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	B	9	n	-17.883331308789902	0.5736056975001121	-1.6878429065538074
20210409	ABZD	2	d	2	abz30	DMSO	N2	C	1	n	-9.173692868369919	-0.8562818865559232	-0.8583333992298571
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	C	2	n	-15.743769595990628	-0.8129519597663464	-1.4715373852181208
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	C	3	n	12.583846875348158	-0.29299283829142436	1.1805185470936534
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	C	6	n	-3.36056414202514	0.2702962099730744	-0.3143668958611078
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	C	8	n	13.006082468398837	0.22696628318349757	1.2162767736944833
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	C	9	n	-24.883331308789902	0.2702962099730744	-2.3485084247321497
20210409	ABZD	2	d	2	abz30	DMSO	N2	D	1	n	-13.173692868369919	-1.0296015937142304	-1.2325920152728314
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	D	2	n	-16.743769595990628	-0.8562818865559232	-1.5650053044636407
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	D	3	n	6.583846875348158	-0.5529723990288854	0.6176452578105659
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	D	6	n	12.63943585797486	0.9635750386063036	1.1823670217800617
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	D	8	n	-5.993917531601164	-0.5963023258184622	-0.5605271760224474
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	D	9	n	-0.8833313087899022	1.3102144529229183	-0.08336950526354767
20210409	ABZD	2	d	2	abz30	DMSO	N2	E	1	n	-11.173692868369919	-0.9429417401350769	-1.0454627072513443
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	E	2	n	-14.743769595990628	-0.7696220329767696	-1.3780694659726012
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	E	3	n	-6.416153124651842	-1.1162614472933843	-0.6019135356361237
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	E	6	n	19.63943585797486	1.2668845261333415	1.8371881107480732
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	E	8	n	11.006082468398837	0.1403064296043439	1.029244778987438
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	E	9	n	-22.883331308789902	0.35695606355222803	-2.159746848109766
20210409	ABZD	2	d	2	abz30	DMSO	N2	F	1	n	-11.173692868369919	-0.9429417401350769	-1.0454627072513443
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	F	2	n	-4.743769595990628	-0.33632276508100123	-0.44339027351740373
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	F	3	n	18.583846875348158	-0.03301327755396341	1.7433918363767409
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	F	6	n	25.63943585797486	1.5268640868708023	2.3984633298635116
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	F	8	n	1.0060824683988363	-0.29299283829142436	0.09408480545221125
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	F	9	n	4.116668691210098	1.5268640868708023	0.388534436292411
20210409	ABZD	2	d	2	abz30	DMSO	N2	G	1	n	3.826307131630081	-0.29299283829142436	0.35800710290980936
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	G	2	n	5.256230404009372	0.09697650281476708	0.4912889189377937
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	G	3	n	12.583846875348158	-0.29299283829142436	1.1805185470936534
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	G	6	n	18.63943585797486	1.2235545993437644	1.7436422408955001
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	G	8	n	-4.993917531601164	-0.5529723990288854	-0.4670111786689247
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	G	9	n	-6.883331308789902	1.0502348921854572	-0.6496542351306982
20210409	ABZE	2	e	2	abz30	DMSO	N2	A	1	n	-20.22873178391709	-0.5302757707105354	-1.8917766884168403
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	A	2	n	-1.381008500593568	0.379652691870578	-0.12920159238861534
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	A	3	n	-12.842865975171588	-1.3968743065020721	-1.204841043113004
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	A	6	n	3.212723007455116	0.5529723990288853	0.30053410712372686
20210409	ABZE	2	e	2	abz30	DMSO	N2	B	1	n	2.771268216082908	0.4663125454497316	0.25916704341813107
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	B	2	n	-4.381008500593568	0.24966291150184744	-0.40986950790054083
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	B	3	n	-8.842865975171588	-1.2235545993437646	-0.8295849140084078
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	B	6	n	12.212723007455116	0.9429417401350767	1.1424389205287557
20210409	ABZE	2	e	2	abz30	DMSO	ECA2805	B	8	n	5.641462794950119	-0.6602655510792659	0.5295684328352008
20210409	ABZE	2	e	2	abz30	DMSO	ECA2816	B	9	n	-4.13362037223995	0.24966291150184744	-0.3867056032204128
20210409	ABZE	2	e	2	abz30	DMSO	N2	C	1	n	-1.228731783917092	0.29299283829142425	-0.11491012733577703
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	C	2	n	5.618991499406432	0.6829621793976157	0.5256902104725439
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	C	3	n	-6.842865975171588	-1.136894745764611	-0.6419568494561095
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	C	6	n	6.212723007455116	0.6829621793976157	0.5811690449254032
20210409	ABZE	2	e	2	abz30	DMSO	ECA2805	C	8	n	-5.358537205049881	-1.136894745764611	-0.5030099910447908
20210409	ABZE	2	e	2	abz30	DMSO	ECA2816	C	9	n	11.86637962776005	0.9429417401350767	1.1101153658938356
20210409	ABZE	2	e	2	abz30	DMSO	N2	D	1	n	-16.22873178391709	-0.35695606355222814	-1.5176995176629322
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	D	2	n	2.618991499406432	0.5529723990288853	0.24502229496061856
