strain	generation	rep	condition	Fractional Abundance	gen	meanab	sdab	proportion
882	G1	D8	DMSO	49.1559986654786	1	50.05483179756317	3.4537886881041566	0.491559986654786
882	G1	A6	ABZ	40.9367550630699	1	32.27731774105428	5.055581996660217	0.409367550630699
2795	G1	D4	DMSO	52.454093586229	1	51.679670456738656	1.6238327504760863	0.52454093586229
2795	G1	A2	ABZ	29.2238502723483	1	31.80211284294249	3.6193614338736335	0.292238502723483
2798	G1	D10	DMSO	45.8840405978609	1	47.78100740426699	3.548686667946534	0.45884040597860903
2801	G1	D7	DMSO	51.828601245951	1	52.53850028655075	9.032388236734011	0.51828601245951
2801	G1	A5	ABZ	30.8608070387156	1	34.32622613974077	6.643160585159962	0.308608070387156
N2	G1	D5	DMSO	49.3248583953099	1	46.78524970123522	3.421065789281822	0.493248583953099
N2	G1	A3	ABZ	57.6156119320161	1	51.04633984509921	3.5843738887926024	0.576156119320161
882	G1	D1	DMSO	45.9561966241543	1	50.05483179756317	3.4537886881041566	0.459561966241543
882	G1	D9	DMSO	47.7235575501478	1	50.05483179756317	3.4537886881041566	0.47723557550147805
882	G1	A7	ABZ	31.1570728153927	1	32.27731774105428	5.055581996660217	0.311570728153927
2795	G1	A3	ABZ	33.3730303059925	1	31.80211284294249	3.6193614338736335	0.333730303059925
2798	G1	D1	DMSO	42.6684307684748	1	47.78100740426699	3.548686667946534	0.42668430768474797
2798	G1	A1	ABZ	31.3656875769312	1	33.12376940256992	5.728057783658099	0.313656875769312
2801	G1	D8	DMSO	69.4830155843739	1	52.53850028655075	9.032388236734011	0.694830155843739
2801	G1	A6	ABZ	33.781685404885	1	34.32622613974077	6.643160585159962	0.33781685404885003
N2	G1	D6	DMSO	51.0459614127656	1	46.78524970123522	3.421065789281822	0.510459614127656
N2	G1	A4	ABZ	51.6582561215877	1	51.04633984509921	3.5843738887926024	0.516582561215877
882	G1	D2	DMSO	50.6632700892708	1	50.05483179756317	3.4537886881041566	0.5066327008927081
882	G1	D10	DMSO	44.5608234578065	1	50.05483179756317	3.4537886881041566	0.445608234578065
882	G1	A8	ABZ	32.0319654699829	1	32.27731774105428	5.055581996660217	0.320319654699829
2795	G1	D6	DMSO	54.275829141524	1	51.679670456738656	1.6238327504760863	0.54275829141524
2795	G1	A4	ABZ	32.0376337282537	1	31.80211284294249	3.6193614338736335	0.320376337282537
2798	G1	D2	DMSO	47.8589176382756	1	47.78100740426699	3.548686667946534	0.478589176382756
2798	G1	A2	ABZ	40.2638567187782	1	33.12376940256992	5.728057783658099	0.402638567187782
2801	G1	D9	DMSO	45.62547584428	1	52.53850028655075	9.032388236734011	0.45625475844279995
2801	G1	A7	ABZ	30.4429540038866	1	34.32622613974077	6.643160585159962	0.304429540038866
N2	G1	D7	DMSO	46.2694090449566	1	46.78524970123522	3.421065789281822	0.46269409044956605
N2	G1	A5	ABZ	51.4425024711267	1	51.04633984509921	3.5843738887926024	0.514425024711267
882	G1	D3	DMSO	52.1799309779376	1	50.05483179756317	3.4537886881041566	0.521799309779376
882	G1	A1	ABZ	28.5459320307684	1	32.27731774105428	5.055581996660217	0.285459320307684
882	G1	A9	ABZ	30.7507693083447	1	32.27731774105428	5.055581996660217	0.307507693083447
2795	G1	D7	DMSO	51.0221234656552	1	51.679670456738656	1.6238327504760863	0.510221234656552
2795	G1	A5	ABZ	28.5997625628812	1	31.80211284294249	3.6193614338736335	0.285997625628812
2798	G1	D3	DMSO	44.650351011779	1	47.78100740426699	3.548686667946534	0.44650351011779
2798	G1	A3	ABZ	34.8153053311734	1	33.12376940256992	5.728057783658099	0.34815305331173396
2801	G1	D10	DMSO	49.4079566488108	1	52.53850028655075	9.032388236734011	0.494079566488108
2801	G1	A8	ABZ	32.3826084860387	1	34.32622613974077	6.643160585159962	0.323826084860387
N2	G1	D8	DMSO	44.0906474501947	1	46.78524970123522	3.421065789281822	0.44090647450194703
N2	G1	A6	ABZ	48.9856624516808	1	51.04633984509921	3.5843738887926024	0.489856624516808
882	G1	D4	DMSO	50.9620713116552	1	50.05483179756317	3.4537886881041566	0.509620713116552
882	G1	A2	ABZ	28.6757613606382	1	32.27731774105428	5.055581996660217	0.286757613606382
882	G1	A10	ABZ	31.8180282226022	1	32.27731774105428	5.055581996660217	0.318180282226022
2795	G1	D8	DMSO	50.7778911100479	1	51.679670456738656	1.6238327504760863	0.507778911100479
2795	G1	A6	ABZ	30.7733636689754	1	31.80211284294249	3.6193614338736335	0.307733636689754
2798	G1	D4	DMSO	46.8967959761533	1	47.78100740426699	3.548686667946534	0.468967959761533
2798	G1	A4	ABZ	38.0613343043755	1	33.12376940256992	5.728057783658099	0.380613343043755
2801	G1	A1	ABZ	50.2008666765448	1	34.32622613974077	6.643160585159962	0.502008666765448
2801	G1	A9	ABZ	37.5673024172364	1	34.32622613974077	6.643160585159962	0.375673024172364
2801	G1	A10	ABZ	36.7552004845445	1	34.32622613974077	6.643160585159962	0.36755200484544504
2816	G1	D8	DMSO	48.1179235904986	1	49.1025800347115	4.86724977665529	0.481179235904986
2816	G1	A6	ABZ	42.4993547153785	1	32.55845133987851	5.651584985682741	0.424993547153785
N2	G3	D4	DMSO	44.9598942817675	3	47.45541680025807	5.53583062300567	0.449598942817675
N2	G3	A2	ABZ	56.4195674901058	3	51.205054759876816	5.453486876763582	0.5641956749010579
N2	G3	A10	ABZ	50.5423067298839	3	51.205054759876816	5.453486876763582	0.505423067298839
882	G3	D8	DMSO	40.2254548186467	3	40.58280724898088	4.70464434667827	0.40225454818646705
882	G3	A7	ABZ	28.7811553520847	3	24.447237536999022	10.535111994984609	0.287811553520847
2795	G3	D5	DMSO	47.3093533813413	3	49.05713285460601	2.118503704334658	0.473093533813413
2795	G3	A3	ABZ	32.7063003119088	3	27.639492109419088	9.883620476315688	0.327063003119088
2798	G3	D1	DMSO	37.8994298977504	3	47.72520785891931	6.188920942380714	0.37899429897750403
2816	G1	D1	DMSO	51.9746349168402	1	49.1025800347115	4.86724977665529	0.519746349168402
2816	G1	D9	DMSO	36.3119930393958	1	49.1025800347115	4.86724977665529	0.363119930393958
2816	G1	A7	ABZ	31.5846051392017	1	32.55845133987851	5.651584985682741	0.315846051392017
N2	G3	D5	DMSO	58.2746640719111	3	47.45541680025807	5.53583062300567	0.582746640719111
N2	G3	A3	ABZ	60.9267042050411	3	51.205054759876816	5.453486876763582	0.6092670420504109
882	G3	D1	DMSO	36.5967314115295	3	40.58280724898088	4.70464434667827	0.365967314115295
882	G3	D9	DMSO	42.4065331369179	3	40.58280724898088	4.70464434667827	0.424065331369179
882	G3	A8	ABZ	16.4187356209658	3	24.447237536999022	10.535111994984609	0.16418735620965802
2795	G3	D6	DMSO	50.3981401318755	3	49.05713285460601	2.118503704334658	0.503981401318755
2795	G3	A4	ABZ	12.3552951233943	3	27.639492109419088	9.883620476315688	0.123552951233943
2798	G3	D2	DMSO	46.091970348252	3	47.72520785891931	6.188920942380714	0.46091970348252
2798	G3	D10	DMSO	44.533387021788	3	47.72520785891931	6.188920942380714	0.44533387021788
2816	G1	D2	DMSO	47.2109495110752	1	49.1025800347115	4.86724977665529	0.472109495110752
2816	G1	D10	DMSO	49.9728925198527	1	49.1025800347115	4.86724977665529	0.499728925198527
2816	G1	A8	ABZ	32.42916678893	1	32.55845133987851	5.651584985682741	0.3242916678893
N2	G3	D6	DMSO	39.6715524260801	3	47.45541680025807	5.53583062300567	0.396715524260801
N2	G3	A4	ABZ	47.5559002350714	3	51.205054759876816	5.453486876763582	0.47555900235071397
882	G3	D2	DMSO	34.810563346877	3	40.58280724898088	4.70464434667827	0.34810563346877
882	G3	D10	DMSO	46.3830108441015	3	40.58280724898088	4.70464434667827	0.46383010844101497
882	G3	A9	ABZ	37.4522557848857	3	24.447237536999022	10.535111994984609	0.374522557848857
2795	G3	D7	DMSO	45.9409755583731	3	49.05713285460601	2.118503704334658	0.459409755583731
2795	G3	A5	ABZ	28.7973095624254	3	27.639492109419088	9.883620476315688	0.287973095624254
2798	G3	D3	DMSO	44.2622164890862	3	47.72520785891931	6.188920942380714	0.442622164890862
2798	G3	A1	ABZ	30.5766694964075	3	28.11262544475556	10.631726241061356	0.305766694964075
2816	G1	D3	DMSO	52.7797250591094	1	49.1025800347115	4.86724977665529	0.5277972505910941
2816	G1	A1	ABZ	40.093447285813	1	32.55845133987851	5.651584985682741	0.40093447285813
2816	G1	A9	ABZ	27.1678727033941	1	32.55845133987851	5.651584985682741	0.27167872703394097
N2	G3	D7	DMSO	54.000040735783	3	47.45541680025807	5.53583062300567	0.5400004073578301
N2	G3	A5	ABZ	49.7604573370481	3	51.205054759876816	5.453486876763582	0.49760457337048103
882	G3	D3	DMSO	33.5832766802879	3	40.58280724898088	4.70464434667827	0.33583276680287905
882	G3	A1	ABZ	41.9436424661927	3	24.447237536999022	10.535111994984609	0.419436424661927
882	G3	A10	ABZ	22.748363585735	3	24.447237536999022	10.535111994984609	0.22748363585735
2795	G3	D8	DMSO	46.0599648040537	3	49.05713285460601	2.118503704334658	0.460599648040537
2795	G3	A6	ABZ	35.9465877510997	3	27.639492109419088	9.883620476315688	0.359465877510997
2798	G3	D4	DMSO	49.0392413858451	3	47.72520785891931	6.188920942380714	0.490392413858451
2798	G3	A2	ABZ	29.8566319915131	3	28.11262544475556	10.631726241061356	0.298566319915131
2816	G1	D4	DMSO	51.3271138643816	1	49.1025800347115	4.86724977665529	0.513271138643816
2816	G1	A2	ABZ	25.0915275242503	1	32.55845133987851	5.651584985682741	0.250915275242503
2816	G1	A10	ABZ	36.9822318744357	1	32.55845133987851	5.651584985682741	0.369822318744357
N2	G3	D8	DMSO	46.6457078441446	3	47.45541680025807	5.53583062300567	0.466457078441446
N2	G3	A6	ABZ	52.3959175967898	3	51.205054759876816	5.453486876763582	0.523959175967898
882	G3	D4	DMSO	38.5676783766514	3	40.58280724898088	4.70464434667827	0.385676783766514
882	G3	A2	ABZ	26.5246573158117	3	24.447237536999022	10.535111994984609	0.265246573158117
2795	G3	D1	DMSO	50.8677494658809	3	49.05713285460601	2.118503704334658	0.508677494658809
2795	G3	D9	DMSO	50.2842896356891	3	49.05713285460601	2.118503704334658	0.502842896356891
2795	G3	A7	ABZ	36.5671470608853	3	27.639492109419088	9.883620476315688	0.36567147060885297
2798	G3	D5	DMSO	55.4747286698227	3	47.72520785891931	6.188920942380714	0.554747286698227
2798	G3	A4	ABZ	40.6715145783329	3	28.11262544475556	10.631726241061356	0.406715145783329
2816	G1	D5	DMSO	50.7530261834877	1	49.1025800347115	4.86724977665529	0.5075302618348769
2816	G1	A3	ABZ	28.7968451191351	1	32.55845133987851	5.651584985682741	0.287968451191351
N2	G3	D1	DMSO	46.9236064240555	3	47.45541680025807	5.53583062300567	0.469236064240555
N2	G3	D9	DMSO	48.0571724474729	3	47.45541680025807	5.53583062300567	0.480571724474729
N2	G3	A7	ABZ	45.0522564682071	3	51.205054759876816	5.453486876763582	0.45052256468207097
882	G3	D5	DMSO	45.3575960066864	3	40.58280724898088	4.70464434667827	0.453575960066864
882	G3	A4	ABZ	10.9093181693127	3	24.447237536999022	10.535111994984609	0.109093181693127
2795	G3	D2	DMSO	49.9724813008425	3	49.05713285460601	2.118503704334658	0.49972481300842503
2795	G3	D10	DMSO	51.902352958346	3	49.05713285460601	2.118503704334658	0.51902352958346
2795	G3	A8	ABZ	26.771439920181	3	27.639492109419088	9.883620476315688	0.26771439920181
2798	G3	D6	DMSO	45.7979465056831	3	47.72520785891931	6.188920942380714	0.457979465056831
2798	G3	A5	ABZ	9.91026831495335	3	28.11262544475556	10.631726241061356	0.09910268314953351
2816	G1	D6	DMSO	52.9174560700337	1	49.1025800347115	4.86724977665529	0.529174560700337
2816	G1	A4	ABZ	31.8192850778057	1	32.55845133987851	5.651584985682741	0.318192850778057
N2	G3	D2	DMSO	46.5831389469536	3	47.45541680025807	5.53583062300567	0.46583138946953606
N2	G3	D10	DMSO	40.7148758314331	3	47.45541680025807	5.53583062300567	0.40714875831433095
N2	G3	A8	ABZ	50.5661640695692	3	51.205054759876816	5.453486876763582	0.505661640695692
882	G3	D6	DMSO	46.6309056291541	3	40.58280724898088	4.70464434667827	0.466309056291541
882	G3	A5	ABZ	22.409449922957702	3	24.447237536999022	10.535111994984609	0.22409449922957703
2795	G3	D3	DMSO	50.1609786384204	3	49.05713285460601	2.118503704334658	0.5016097863842041
2795	G3	A1	ABZ	25.8118786241929	3	27.639492109419088	9.883620476315688	0.258118786241929
2795	G3	A9	ABZ	25.4890758342234	3	27.639492109419088	9.883620476315688	0.254890758342234
2798	G3	D7	DMSO	47.769744064598	3	47.72520785891931	6.188920942380714	0.47769744064598
2798	G3	A6	ABZ	15.9080910241157	3	28.11262544475556	10.631726241061356	0.159080910241157
2816	G1	D7	DMSO	49.6600855924401	1	49.1025800347115	4.86724977665529	0.49660085592440095
2816	G1	A5	ABZ	29.120177170441	1	32.55845133987851	5.651584985682741	0.29120177170441
N2	G3	D3	DMSO	48.7235149929793	3	47.45541680025807	5.53583062300567	0.48723514992979294
N2	G3	A1	ABZ	42.9336100635266	3	51.205054759876816	5.453486876763582	0.429336100635266
N2	G3	A9	ABZ	55.8976634035252	3	51.205054759876816	5.453486876763582	0.558976634035252
882	G3	D7	DMSO	41.2663222389564	3	40.58280724898088	4.70464434667827	0.412663222389564
882	G3	A6	ABZ	12.8375596150452	3	24.447237536999022	10.535111994984609	0.128375596150452
2795	G3	D4	DMSO	47.6750426712376	3	49.05713285460601	2.118503704334658	0.476750426712376
2795	G3	A2	ABZ	41.0677155335159	3	27.639492109419088	9.883620476315688	0.410677155335159
2795	G3	A10	ABZ	10.8821713723642	3	27.639492109419088	9.883620476315688	0.108821713723642
2798	G3	D8	DMSO	58.6582063474483	3	47.72520785891931	6.188920942380714	0.5865820634744829
2798	G3	A7	ABZ	27.6283689729921	3	28.11262544475556	10.631726241061356	0.276283689729921
2798	G3	A8	ABZ	21.7364003862387	3	28.11262544475556	10.631726241061356	0.217364003862387
2801	G3	D6	DMSO	50.6392641880852	3	54.011933917771046	9.090399829527206	0.506392641880852
2801	G3	A5	ABZ	45.7863915874309	3	35.71076397917559	11.665020570360776	0.45786391587430897
2816	G3	D4	DMSO	50.5839774399193	3	50.11387784763786	3.8474915739945525	0.505839774399193
2816	G3	A3	ABZ	18.4439295390404	3	31.016478320741534	11.500096471963843	0.18443929539040402
N2	G5	D1	DMSO	47.2858883785886	5	47.425776681584345	8.003198864514799	0.47285888378588603
N2	G5	D10	DMSO	37.5767024491066	5	47.425776681584345	8.003198864514799	0.37576702449106597
N2	G5	A9	ABZ	58.483446080477	5	50.64657845176014	8.045497856797482	0.58483446080477
882	G5	D7	DMSO	37.5981398243824	5	40.83207796402326	4.618202565224523	0.375981398243824
882	G5	A6	ABZ	12.116909598531	5	10.532552076024228	8.173482165585359	0.12116909598531
2795	G5	D4	DMSO	50.0666543037729	5	50.16571057530058	3.1122645932714783	0.500666543037729
2795	G5	A2	ABZ	21.2655954045791	5	10.471701139295961	6.646256432234877	0.212655954045791
2798	G3	A9	ABZ	36.612277188857	3	28.11262544475556	10.631726241061356	0.36612277188857
2801	G3	D8	DMSO	65.3909709224029	3	54.011933917771046	9.090399829527206	0.653909709224029
2801	G3	A6	ABZ	56.7059642550558	3	35.71076397917559	11.665020570360776	0.567059642550558
2816	G3	D5	DMSO	50.9697735024253	3	50.11387784763786	3.8474915739945525	0.509697735024253
2816	G3	A4	ABZ	48.7089884591322	3	31.016478320741534	11.500096471963843	0.487089884591322
N2	G5	D2	DMSO	44.9281147607759	5	47.425776681584345	8.003198864514799	0.449281147607759
N2	G5	A1	ABZ	42.0208179944547	5	50.64657845176014	8.045497856797482	0.420208179944547
N2	G5	A10	ABZ	57.3349693325091	5	50.64657845176014	8.045497856797482	0.573349693325091
882	G5	D8	DMSO	38.8655412650912	5	40.83207796402326	4.618202565224523	0.388655412650912
882	G5	A7	ABZ	9.10029219193302	5	10.532552076024228	8.173482165585359	0.0910029219193302
2795	G5	D5	DMSO	51.0510063994465	5	50.16571057530058	3.1122645932714783	0.510510063994465
2795	G5	A3	ABZ	5.50576583192718	5	10.471701139295961	6.646256432234877	0.0550576583192718
2798	G3	A10	ABZ	40.1134070493897	3	28.11262544475556	10.631726241061356	0.401134070493897
2801	G3	D9	DMSO	59.7605767434777	3	54.011933917771046	9.090399829527206	0.597605767434777
2801	G3	A7	ABZ	39.1141497246416	3	35.71076397917559	11.665020570360776	0.391141497246416
2816	G3	D6	DMSO	50.8623240704598	3	50.11387784763786	3.8474915739945525	0.508623240704598
2816	G3	A5	ABZ	41.1285218561821	3	31.016478320741534	11.500096471963843	0.411285218561821
N2	G5	D3	DMSO	52.8541830800985	5	47.425776681584345	8.003198864514799	0.528541830800985
N2	G5	A2	ABZ	54.1065583886055	5	50.64657845176014	8.045497856797482	0.541065583886055
882	G5	D1	DMSO	38.0654582079384	5	40.83207796402326	4.618202565224523	0.38065458207938396
882	G5	D9	DMSO	42.5230827735734	5	40.83207796402326	4.618202565224523	0.425230827735734
882	G5	A8	ABZ	3.94931525222313	5	10.532552076024228	8.173482165585359	0.039493152522231297
2795	G5	D6	DMSO	56.2864286237668	5	50.16571057530058	3.1122645932714783	0.562864286237668
2795	G5	A4	ABZ	5.06874000737738	5	10.471701139295961	6.646256432234877	0.05068740007377379
2801	G3	D1	DMSO	45.9087012335908	3	54.011933917771046	9.090399829527206	0.459087012335908
2801	G3	D10	DMSO	49.3406950658866	3	54.011933917771046	9.090399829527206	0.493406950658866
2801	G3	A9	ABZ	36.1099860518936	3	35.71076397917559	11.665020570360776	0.361099860518936
2816	G3	D7	DMSO	49.7781858285452	3	50.11387784763786	3.8474915739945525	0.49778185828545196
2816	G3	A6	ABZ	37.3655455645075	3	31.016478320741534	11.500096471963843	0.373655455645075
N2	G5	D5	DMSO	61.2751896713216	5	47.425776681584345	8.003198864514799	0.612751896713216
N2	G5	A3	ABZ	60.503134720528	5	50.64657845176014	8.045497856797482	0.6050313472052801
882	G5	D2	DMSO	32.9106206190871	5	40.83207796402326	4.618202565224523	0.329106206190871
882	G5	D10	DMSO	46.2372861877294	5	40.83207796402326	4.618202565224523	0.46237286187729404
882	G5	A9	ABZ	8.49380831362065	5	10.532552076024228	8.173482165585359	0.0849380831362065
2795	G5	D7	DMSO	46.3833289766204	5	50.16571057530058	3.1122645932714783	0.46383328976620397
2801	G3	D2	DMSO	67.0940418029796	3	54.011933917771046	9.090399829527206	0.670940418029796
2801	G3	A1	ABZ	40.0833692473064	3	35.71076397917559	11.665020570360776	0.400833692473064
2801	G3	A10	ABZ	23.7400144119719	3	35.71076397917559	11.665020570360776	0.237400144119719
2816	G3	D8	DMSO	47.4189332193303	3	50.11387784763786	3.8474915739945525	0.474189332193303
2816	G3	A7	ABZ	13.4035000341198	3	31.016478320741534	11.500096471963843	0.134035000341198
N2	G5	D6	DMSO	38.249235997419	5	47.425776681584345	8.003198864514799	0.38249235997419
N2	G5	A5	ABZ	46.8620178486784	5	50.64657845176014	8.045497856797482	0.468620178486784
882	G5	D3	DMSO	37.7816119786256	5	40.83207796402326	4.618202565224523	0.37781611978625596
882	G5	A1	ABZ	30.0672553936642	5	10.532552076024228	8.173482165585359	0.300672553936642
882	G5	A10	ABZ	9.04721860507971	5	10.532552076024228	8.173482165585359	0.0904721860507971
2795	G5	D8	DMSO	47.8791923225848	5	50.16571057530058	3.1122645932714783	0.478791923225848
2795	G5	A6	ABZ	20.8022999707195	5	10.471701139295961	6.646256432234877	0.20802299970719498
2801	G3	D3	DMSO	52.3462526941118	3	54.011933917771046	9.090399829527206	0.523462526941118
2801	G3	A2	ABZ	20.1950691449638	3	35.71076397917559	11.665020570360776	0.20195069144963798
2816	G3	D2	DMSO	41.9783418069981	3	50.11387784763786	3.8474915739945525	0.41978341806998104
2816	G3	D9	DMSO	49.9304567507269	3	50.11387784763786	3.8474915739945525	0.499304567507269
2816	G3	A8	ABZ	23.0797508616544	3	31.016478320741534	11.500096471963843	0.230797508616544
N2	G5	D7	DMSO	41.8545415629725	5	47.425776681584345	8.003198864514799	0.418545415629725
N2	G5	A6	ABZ	49.2962447393579	5	50.64657845176014	8.045497856797482	0.49296244739357903
882	G5	D4	DMSO	44.3015831051729	5	40.83207796402326	4.618202565224523	0.44301583105172904
882	G5	A2	ABZ	12.5348929200873	5	10.532552076024228	8.173482165585359	0.125348929200873
2795	G5	D1	DMSO	47.8081067869978	5	50.16571057530058	3.1122645932714783	0.47808106786997795
2795	G5	D9	DMSO	50.3010992643729	5	50.16571057530058	3.1122645932714783	0.5030109926437291
2795	G5	A7	ABZ	9.54811411023812	5	10.471701139295961	6.646256432234877	0.0954811411023812
2801	G3	D4	DMSO	39.183926188103	3	54.011933917771046	9.090399829527206	0.39183926188103
2801	G3	A3	ABZ	35.4087410658061	3	35.71076397917559	11.665020570360776	0.354087410658061
2816	G3	D3	DMSO	55.907068287087	3	50.11387784763786	3.8474915739945525	0.55907068287087
2816	G3	D10	DMSO	54.8959038025906	3	50.11387784763786	3.8474915739945525	0.5489590380259061
2816	G3	A9	ABZ	28.9505959360601	3	31.016478320741534	11.500096471963843	0.28950595936060103
N2	G5	D8	DMSO	46.8778985366457	5	47.425776681584345	8.003198864514799	0.468778985366457
N2	G5	A7	ABZ	36.0934602422959	5	50.64657845176014	8.045497856797482	0.360934602422959
882	G5	D5	DMSO	41.9571755890114	5	40.83207796402326	4.618202565224523	0.419571755890114
882	G5	A4	ABZ	1.03354837757936	5	10.532552076024228	8.173482165585359	0.010335483775793599
2795	G5	D2	DMSO	52.7497546810017	5	50.16571057530058	3.1122645932714783	0.5274975468100169
2795	G5	D10	DMSO	52.4302582309812	5	50.16571057530058	3.1122645932714783	0.524302582309812
2795	G5	A8	ABZ	8.80800563476902	5	10.471701139295961	6.646256432234877	0.08808005634769019
2801	G3	D5	DMSO	56.4429764213018	3	54.011933917771046	9.090399829527206	0.564429764213018
2801	G3	A4	ABZ	24.2531903235102	3	35.71076397917559	11.665020570360776	0.242531903235102
2816	G3	D4	DMSO	48.8138137682961	3	50.11387784763786	3.8474915739945525	0.488138137682961
2816	G3	A1	ABZ	38.967070138333	3	31.016478320741534	11.500096471963843	0.38967070138333
2816	G3	A10	ABZ	29.1004024976443	3	31.016478320741534	11.500096471963843	0.291004024976443
N2	G5	D9	DMSO	55.9302356973307	5	47.425776681584345	8.003198864514799	0.559302356973307
N2	G5	A8	ABZ	51.1185567189348	5	50.64657845176014	8.045497856797482	0.5111855671893479
882	G5	D6	DMSO	48.0802800896208	5	40.83207796402326	4.618202565224523	0.48080280089620797
882	G5	A5	ABZ	8.44972803149968	5	10.532552076024228	8.173482165585359	0.0844972803149968
2795	G5	D3	DMSO	46.7012761634608	5	50.16571057530058	3.1122645932714783	0.467012761634608
2795	G5	A1	ABZ	12.2028258520829	5	10.471701139295961	6.646256432234877	0.12202825852082899
2795	G5	A9	ABZ	8.73778140885588	5	10.471701139295961	6.646256432234877	0.08737781408855881
2795	G5	A10	ABZ	2.30618203311457	5	10.471701139295961	6.646256432234877	0.023061820331145698
2798	G5	D9	DMSO	48.559237047135	5	47.71331077950932	5.904280472054864	0.48559237047135
2798	G5	A7	ABZ	17.0768166823946	5	10.669710661245263	5.582202866041395	0.170768166823946
2801	G5	D5	DMSO	59.4680824808121	5	53.67601792551189	11.154561799081415	0.594680824808121
2801	G5	A4	ABZ	6.46407770025105	5	10.203211836769832	5.635719155088324	0.0646407770025105
2816	G5	D3	DMSO	45.0955286371099	5	49.71174519858392	6.380003334183798	0.450955286371099
2798	G5	D2	DMSO	45.6382206473366	5	47.71331077950932	5.904280472054864	0.456382206473366
2798	G5	D10	DMSO	38.1361197503394	5	47.71331077950932	5.904280472054864	0.381361197503394
2798	G5	A8	ABZ	9.06324963174243	5	10.669710661245263	5.582202866041395	0.0906324963174243
2801	G5	D6	DMSO	48.7768080831475	5	53.67601792551189	11.154561799081415	0.487768080831475
2801	G5	A5	ABZ	18.8947072590128	5	10.203211836769832	5.635719155088324	0.188947072590128
2816	G5	D4	DMSO	52.5852606460244	5	49.71174519858392	6.380003334183798	0.525852606460244
2798	G5	D3	DMSO	42.8010476033947	5	47.71331077950932	5.904280472054864	0.428010476033947
2798	G5	A1	ABZ	8.73212058046958	5	10.669710661245263	5.582202866041395	0.0873212058046958
2798	G5	A9	ABZ	12.8775829833785	5	10.669710661245263	5.582202866041395	0.128775829833785
2801	G5	D8	DMSO	65.2880666853228	5	53.67601792551189	11.154561799081415	0.652880666853228
