strain	generation	rep	condition	Fractional Abundance	gen	meanab	sdab	proportion
N2	G1	D1	DMSO	42.5406709725407	1	46.78524970123522	3.421065789281822	0.425406709725407
N2	G1	D9	DMSO	47.5710990710777	1	46.78524970123522	3.421065789281822	0.475710990710777
N2	G1	A7	ABZ	45.4623057133185	1	51.04633984509921	3.5843738887926024	0.454623057133185
882	G1	D5	DMSO	55.6503457838035	1	50.05483179756317	3.4537886881041566	0.556503457838035
882	G1	A3	ABZ	41.9913020976655	1	32.27731774105428	5.055581996660217	0.41991302097665506
2795	G1	D1	DMSO	49.4728373168357	1	51.679670456738656	1.6238327504760863	0.494728373168357
2798	G1	D5	DMSO	53.4321869536024	1	47.78100740426699	3.548686667946534	0.534321869536024
2801	G1	D4	DMSO	39.6204953374843	1	52.53850028655075	9.032388236734011	0.396204953374843
2801	G1	A2	ABZ	26.5731125599506	1	34.32622613974077	6.643160585159962	0.265731125599506
N2	G1	D2	DMSO	47.16397761452	1	46.78524970123522	3.421065789281822	0.47163977614520003
N2	G1	D10	DMSO	52.2022420914885	1	46.78524970123522	3.421065789281822	0.522022420914885
N2	G1	A8	ABZ	52.0724093045517	1	51.04633984509921	3.5843738887926024	0.520724093045517
882	G1	D6	DMSO	49.5370255384245	1	50.05483179756317	3.4537886881041566	0.495370255384245
882	G1	A4	ABZ	28.0019569085579	1	32.27731774105428	5.055581996660217	0.280019569085579
2795	G1	D2	DMSO	50.8080439523397	1	51.679670456738656	1.6238327504760863	0.508080439523397
2795	G1	A8	ABZ	27.0029894392179	1	31.80211284294249	3.6193614338736335	0.270029894392179
2798	G1	D6	DMSO	49.4616205331817	1	47.78100740426699	3.548686667946534	0.494616205331817
2801	G1	D5	DMSO	60.0899489804504	1	52.53850028655075	9.032388236734011	0.600899489804504
2801	G1	A3	ABZ	36.2012462341761	1	34.32622613974077	6.643160585159962	0.362012462341761
N2	G1	D3	DMSO	41.8830224589633	1	46.78524970123522	3.421065789281822	0.41883022458963304
N2	G1	A1	ABZ	48.7303162979653	1	51.04633984509921	3.5843738887926024	0.48730316297965304
N2	G1	A9	ABZ	48.006439053834	1	51.04633984509921	3.5843738887926024	0.48006439053834
882	G1	D7	DMSO	54.1590979769529	1	50.05483179756317	3.4537886881041566	0.541590979769529
882	G1	A5	ABZ	28.8636341335204	1	32.27731774105428	5.055581996660217	0.288636341335204
2795	G1	D3	DMSO	52.9468746245391	1	51.679670456738656	1.6238327504760863	0.529468746245391
2795	G1	A1	ABZ	36.4359944968819	1	31.80211284294249	3.6193614338736335	0.36435994496881896
2795	G1	A9	ABZ	36.970278268989	1	31.80211284294249	3.6193614338736335	0.36970278268989
2798	G1	D9	DMSO	51.3957157548082	1	47.78100740426699	3.548686667946534	0.513957157548082
2801	G1	D6	DMSO	53.0313433749972	1	52.53850028655075	9.032388236734011	0.530313433749972
2801	G1	A4	ABZ	28.4964780914294	1	34.32622613974077	6.643160585159962	0.284964780914294
N2	G1	D4	DMSO	45.7606085005352	1	46.78524970123522	3.421065789281822	0.457606085005352
N2	G1	A2	ABZ	50.8796206373423	1	51.04633984509921	3.5843738887926024	0.508796206373423
N2	G1	A10	ABZ	55.610274467569	1	51.04633984509921	3.5843738887926024	0.55610274467569
