date	experiment	round	assay	plate	condition	control	strain	row	col	trait	phenotype	.std.resid.x	.std.resid.y
20210409	ABZD	2	d	2	abz30	DMSO	ECA882	G	2	n	6.224311350985019	0.1917044688061187	0.5934773670759871
20210409	ABZD	2	d	2	abz30	DMSO	ECA2795	G	3	n	12.686047017902943	-0.21769829508491453	1.2120099859033333
20210409	ABZD	2	d	2	abz30	DMSO	ECA2798	G	4	n	-3.6830886162001484	1.1924667805397553	-0.353261482720963
20210409	ABZD	2	d	2	abz30	DMSO	ECA2799	G	5	n	2.143954517731631	-0.21769829508491453	0.2044818642176205
20210409	ABZD	2	d	2	abz30	DMSO	ECA2801	G	6	n	20.276606517457534	1.3744235644913256	1.9345518951102676
20210409	ABZD	2	d	2	abz30	DMSO	ECA2804	G	7	n	8.549566851087805	0.009747684854548366	0.8155395401940764
20210409	ABZD	2	d	2	abz30	DMSO	ECA2805	G	8	n	-4.277729182275222	-0.49063347101227	-0.40797751465435583
20210409	ABZD	2	d	2	abz30	DMSO	ECA2816	G	9	n	-4.104772316207001	1.1924667805397553	-0.39377398063140684
20210409	ABZD	2	d	3	fbz30	DMSO	N2	A	1	n	-4.373890841639769	-0.6136563566190232	-0.44613388731900777
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2817	A	10	n	2.353099550263842	-0.757002112892659	0.2405205098480298
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	A	2	n	2.0117556918657744	0.007508587233384511	0.20508428356575165
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	A	3	n	-2.7219917333422607	-0.9003478691662956	-0.2780655220258373
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2798	A	4	n	-31.42860189429582	-0.1836190877981302	-3.2237486937036253
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2799	A	5	n	4.551017874754126	-0.08805525028237479	0.4640847746164249
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	A	6	n	17.987833247708352	1.2976203936960786	1.834930393672109
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2804	A	7	n	9.847949927007942	0.10307242474913601	1.0043818647604092
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	A	8	n	-9.838061740922019	-0.757002112892659	-1.0031857586200112
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	A	9	n	18.182318490028035	2.2054768500957547	1.8653585167525317
20210409	ABZD	2	d	3	fbz30	DMSO	N2	B	1	n	-10.373890841639769	-0.9003478691662956	-1.0581298014444267
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2817	B	10	n	4.353099550263842	-0.6614382753769072	0.4449491833574537
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	B	2	n	-14.988244308134226	-0.8047840316505402	-1.5279456438328056
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	B	3	n	3.2780082666577393	-0.6136563566190232	0.33486548423642226
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2798	B	4	n	-24.42860189429582	0.1508543435070137	-2.5057326352157974
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2799	B	5	n	-0.4489821252458741	-0.32696484407176335	-0.04578443199649947
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	B	6	n	3.98783324770835	0.6286735310857907	0.40679699051849066
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2804	B	7	n	0.8479499270079414	-0.32696484407176335	0.08648150480294411
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	B	8	n	9.161938259077981	0.1508543435070137	0.9342415431925786
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	B	9	n	-4.817681509971965	1.1064927186645679	-0.49425507756648934
20210409	ABZD	2	d	3	fbz30	DMSO	N2	C	1	n	-6.373890841639769	-0.709220194134785	-0.6501325253608194
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2817	C	10	n	4.353099550263842	-0.6614382753769072	0.4449491833574537
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	C	2	n	-9.988244308134226	-0.5658744378611519	-1.0182309593038181
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	C	3	n	10.27800826665774	-0.2791829253138856	1.0499516582090584
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2798	C	4	n	-10.42860189429582	0.8198012061173016	-1.0697005182401411
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2799	C	5	n	-4.448982125245874	-0.5180925191032741	-0.4536797972868389
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	C	6	n	15.98783324770835	1.2020565561803231	1.6309113360787348
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2804	C	7	n	-3.1520500729920586	-0.5180925191032741	-0.3214742107337071
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	C	8	n	10.161938259077981	0.1986362622648914	1.0362114011827148
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	C	9	n	-1.8176815099719654	1.249838474938201	-0.18647939135096486
20210409	ABZD	2	d	3	fbz30	DMSO	N2	D	1	n	1.6261091583602312	-0.32696484407176335	0.16586202680639556
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2817	D	10	n	-0.6469004497361581	-0.9003478691662956	-0.06612250041610607
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	D	2	n	2.0117556918657744	0.007508587233384511	0.20508428356575165
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	D	3	n	-4.721991733342261	-0.9959117066820511	-0.48237585744659045
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2798	D	4	n	-12.42860189429582	0.7242373686015461	-1.2748479635223777
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2799	D	5	n	4.551017874754126	-0.08805525028237479	0.4640847746164249
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	D	6	n	0.98783324770835	0.4853277748121576	0.10076840412842959
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2804	D	7	n	-5.152050072992059	-0.6136563566190232	-0.5254520685020326
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	D	8	n	16.16193825907798	0.4853277748121576	1.648030549123533
