term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,condition
strain,ECA2795,N2,0,-152.68436055038347,-210.1007291839656,-95.26799191680136,2.73e-13,****,Fenbendazole
strain,ECA2798,ECA2799,0,52.624803455757494,-3.9721254353363946,109.22173234685138,0.0927,ns,Fenbendazole
strain,ECA2798,ECA2801,0,-14.814335016197056,-72.07940860779604,42.45073857540193,0.998,ns,Fenbendazole
strain,ECA2798,ECA2804,0,46.63452883388815,-10.630544757710837,103.89960242548713,0.221,ns,Fenbendazole
strain,ECA2798,ECA2805,0,40.63865667207054,-16.626416919528445,97.90373026366953,0.412,ns,Fenbendazole
strain,ECA2798,ECA2816,0,4.2249506336665545,-53.04012295793243,61.490024225265536,1,ns,Fenbendazole
strain,ECA2798,ECA2817,0,-26.86223113408988,-84.12730472568886,30.402842457509106,0.89,ns,Fenbendazole
strain,ECA2798,ECA882,0,10.133002960949156,-47.13207063064983,67.39807655254813,1,ns,Fenbendazole
strain,ECA2798,N2,0,-149.03603564167577,-207.83059325598705,-90.24147802736448,2.74e-12,****,Fenbendazole
strain,ECA2799,ECA2801,0,-67.43913847195455,-123.28829276685923,-11.589984177049871,0.00577,**,Fenbendazole
strain,ECA2799,ECA2804,0,-5.990274621869347,-61.839428916774025,49.85887967303533,1,ns,Fenbendazole
strain,ECA2799,ECA2805,0,-11.986146783686955,-67.83530107859164,43.863007511217724,1,ns,Fenbendazole
strain,ECA2799,ECA2816,0,-48.39985282209094,-104.24900711699561,7.449301472813737,0.153,ns,Fenbendazole
strain,ECA2799,ECA2817,0,-79.48703458984738,-135.33618888475206,-23.637880294942704,3.89e-4,***,Fenbendazole
strain,ECA2799,ECA882,0,-42.491800494808345,-98.34095478971302,13.357353800096334,0.311,ns,Fenbendazole
strain,ECA2799,N2,0,-201.66083909743327,-259.0772077310154,-144.24447046385114,0,****,Fenbendazole
strain,ECA2801,ECA2804,0,61.4488638500852,4.9227253918128255,117.97500230835757,0.0214,*,Fenbendazole
strain,ECA2801,ECA2805,0,55.4529916882676,-1.0731467700047759,111.97913014653997,0.0594,ns,Fenbendazole
strain,ECA2801,ECA2816,0,19.03928564986361,-37.48685280840877,75.56542410813599,0.986,ns,Fenbendazole
strain,ECA2801,ECA2817,0,-12.047896117892822,-68.5740345761652,44.47824234037955,1,ns,Fenbendazole
strain,ECA2801,ECA882,0,24.947337977146212,-31.578800481126166,81.47347643541859,0.922,ns,Fenbendazole
strain,ECA2801,N2,0,-134.22170062547872,-192.2967871998016,-76.14661405115582,1.95e-10,****,Fenbendazole
strain,ECA2804,ECA2805,0,-5.9958721618176085,-62.522010620089986,50.53026629645477,1,ns,Fenbendazole
